Title,Price,Room
" 5 Tur Ronain, Clybaun Road, Knocknacarra,   Galway City, H91 AF43"," €1,700 / month ", 2 beds 
" Apartment 25, Longford House, Spencer Dock, Dublin 1, North Wall,   Dublin 1"," €3,000 / month ", 2 beds 
" 654 South Circular Road HYDE SQUARE, Kilmainham,   Dublin 8"," €2,600 / month ", 2 beds 
" Block 5, 208 Parklands, Northwood, Santry, Santry,   Dublin 9"," €1,900 / month ", 1 bed 
" 31 Temple Square, Temple Rd,, Rathgar,   Dublin 6, D06 WR97"," €3,500 / month ", 3 beds 
" Somerton, Lucan,   Dublin County"," €2,500 / month ", 2 beds 
" Rosemay Square, Roscrea, Tipperary", €210 / week , 2 beds 
" 17 The Avenue, Dunboyne Castle, Dunboyne, Meath, Dunboyne, Meath", €760 / month , 1 bed 
" Corragloon, Virginia, Cavan"," €1,400 / month ", 4 beds 
" 5 Grange park road , Raheny,   Dublin 5", €850 / month , 1 bed 
" Rush, Rush, Dublin, K56XD42"," €3,200 / month ", 4 beds 
" Alderwood, Carrickmacross, Monaghan"," €1,400 / month ", 4 beds 
" 11 raglan hall clyde road, Ballsbridge,   Dublin 4, D04 WP95"," €3,150 / month ", 2 beds 
" Elmfield Court, Clondalkin,   Dublin 22"," €3,000 / month ", 4 beds 
" Apartment 9, House 11, Linden Square, Blackrock, Co. Dublin, Blackrock,   Dublin County"," €3,000 / month ", 2 beds 
" 16 Wood Dale View, Ballycullen,   Dublin 24"," €3,600 / month ", 4 beds 
" Foramoyle, Barna, Galway, H91 XDF2", €950 / month , 4 beds 
" 96 Forster court, City Centre,   Galway City, H91F98F"," €2,600 / month ", 4 beds 
" 48 Lakeview, Fair Green, Cavan, Cavan"," €1,250 / month ", 3 beds 
" Grand Canal View, Kilmainham,   Dublin 8"," €1,887 / month ", 2 beds 
" Ballinascorney, Brittas, Dublin, D24 W102"," €1,950 / month ", 2 beds 
" 18 Leganara View, Kentstown, Meath, C15D9W2"," €1,727 / month ", 4 beds 
" 17 Charleville Ave, North Strand,   Dublin 3"," €3,300 / month ", 4 beds 
" Watermill court raheny , Raheny,   Dublin 5"," €1,800 / month ", 1 bed 
" APARTMENT 105, CONCORDIA, SEABOURNE VIEW, CHARLESLAND, Greystones, Wicklow"," €2,400 / month ", 2 beds 
" 11 the hall laurel place, Terenure,   Dublin 6W, D6W ER27"," €2,275 / month ", 2 beds 
" apartment 8 malin hall waterville terrace, Blanchardstown,   Dublin 15"," €1,950 / month ", 2 beds 
" 101 ros caoin ros cam, Roscam,   Galway City"," €2,500 / month ", 4 beds 
" 4 Coolshannagh Close, Monaghan Town, Monaghan"," €1,800 / month ", 4 beds 
" Derryvarogue Donadea Co Kildare , Donadea, Kildare"," €2,600 / month ", 4 beds 
" silverlawns, Navan, Meath"," €2,300 / month ", 3 beds 
" 16 Glenbourne Crescent, Leopardstown Valley, Leopardstown,   Dublin 18"," €1,200 / month ", 1 bed 
" 3 The Clovers, Beechpark Avenue, Castleknock, Dublin 15, Castleknock,   Dublin 15"," €3,000 / month ", 2 beds 
" 9 Meadow Court, The Beeches, Boherbue, Co Cork, Boherbue, Cork"," €1,250 / month ", 4 beds 
" 71 evergreen street, City Centre Sth, Cork, T12 V5N3"," €2,000 / month ", 2 beds 
" 93 Abbeyvale corbally limerick , Corbally,   Limerick City"," €2,000 / month ", 3 beds 
" St Helens, Marine Parade, Sandycove,   South County Dublin", €900 / week , 2 beds 
" 33 Holywell Lane, Swords, Dublin"," €2,200 / month ", 3 beds 
" The Lodge Ardmulchan, Navan, Meath"," €1,990 / month ", 2 beds 
" 151 Mill Quarter , Gorey, Wexford, Y25 H6V0"," €2,000 / month ", 3 beds 
" Apt 32 The Hibernian South Lotts Road Dublin 4, Grand Canal Dk,   Dublin 4, D04AK84"," €2,600 / month ", 2 beds 
" Beatty park celbridge co kildare, Celbridge, Kildare"," €1,000 / month ", 1 bed 
" Bulfin road, Kilmainham,   Dublin 8, D08 HX82"," €3,000 / month ", 3 beds 
" Tara court rd, Navan, Meath"," €2,500 / month ", 3 beds 
" Hibernian Avenue, Dublin 3, North Strand,   Dublin 3"," €2,250 / month ", 2 beds 
" 26 Priory Way, St Raphaels Manor, Celbridge, Kildare"," €2,300 / month ", 3 beds 
" Ballycaskin, carrignavar village, cork T34WO29 , Carrignavar, Cork, T34WO29 "," €1,450 / month ", 4 beds 
" 32 benmadigan road drimnagh Dublin 12, Drimnagh,   Dublin 12"," €1,300 / week ", 1 bed 
" 34 Warren Street, Portobello,   Dublin 8"," €2,280 / month ", 2 beds 
" 33 hamton wood, Finglas,   Dublin 11, D11X765"," €2,000 / month ", 2 beds 
" 27 Hunters Avenue, Firhouse, Dublin 24 , Ballycullen,   Dublin 24"," €2,000 / month ", 2 beds 
" Apt 20 the fairgree, City Centre,   Galway City, H91 V093"," €1,350 / month ", 2 beds 
" 11 Tudor Close,  Knocknacarra , Knocknacarra,   Galway City"," €2,600 / month ", 3 beds 
" 2 Beech Crescent, Royal Canal, Mullingar, Mullingar, Westmeath, N91K7K8"," €2,150 / month ", 4 beds 
" Belfry Downs, Citywest,   Dublin 24"," €2,100 / month ", 2 beds 
" 3 Broadwater, Naas, Kildare"," €2,300 / month ", 3 beds 
" Melvin Road, Terenure, Dublin 6"," €2,700 / month ", 2 beds 
" Cedar Square, Carysfort, Blackrock, Dublin South County, Dublin"," €3,200 / month ", 3 beds 
" Newcastle Manor, Newcastle, Co. Dublin", €800 / month , 1 bed 
" Rear 21 Ranelagh Road, Ranelagh, Dublin 6"," €1,900 / month ", 1 bed 
" The Woodlands, Celbridge, Co. Kildare"," €1,950 / month ", 3 beds 
" Brookdale, Carrigadrohid, Cork"," €1,500 / month ", 4 beds 
" Melville Square, Finglas, Dublin 11"," €2,000 / month ", 2 beds 
" Abberley Square, Tallaght, Dublin 24"," €1,574.50 / month ", 1 bed 
" Blessington , Blessington, Wicklow"," €1,400 / month ", 2 beds 
" Garden Apt, dublin 4"," €1,950 / month ", 2 beds 
" Mitchel House, Appian Way, Ranelagh, Dublin 6"," €1,800 / month ", 1 bed 
" 2 Ardan Diarmada, Castledermot, Kildare"," €1,139 / month ", 3 beds 
" Kilmore Ave, Killiney, Dublin"," €4,095 / month ", 2 beds 
" 15 Woodbrook Park, Carpenterstown, Dublin 15, County Dublin"," €2,126 / month ", 3 beds 
"  Radcliff Hall St. John's Road, Sandymount, Dublin 4"," €5,000 / month ", 3 beds 
" Dundela Haven, Sandycove, Dublin"," €2,500 / month ", 2 beds 
" Anglesea Road, Ballsbridge, Dublin 4"," €3,101 / month ", 2 beds 
" Richmond Row, Portobello, Dublin 8"," €2,800 / month ", 2 beds 
" Captiva, Kilmuckridge, Wexford"," €9,950 / month ", 6 beds 
" 6 Tivoli Terrace, Dun Laoghaire, Dublin"," €2,595 / month ", 2 beds 
" Annaly Close, Ongar Lodge, Dublin 15, Dublin"," €1,195 / month ", 1 bed 
" 12 Cypress Park, Templeogue, Dublin 6W"," €3,200 / month ", 4 beds 
" Sea View Croagh Patrick, Westport, Mayo"," €1,595 / week ", 6 beds 
" Meadowbank, Terenure, Dublin 6"," €2,600 / month ", 4 beds 
" Tara View, Merrion Road, Dublin 4, Dublin", POA , 3 beds 
" Tara View, Merrion Road, Dublin 4, Dublin", POA , 2 beds 
" Tara View, Merrion Road, Dublin 4, Dublin",POA,Apartment 
" The Court, Newtown Manor, Kill, Co. Kildare"," €1,800 / month ", 2 beds 
" Kiltipper Gate, Tallaght", POA , 2 beds 
" 10 Meadowfields, The Moyne, Enniscorthy, Co. Wexford", €950 / month , 2 beds 
" Farmleigh Court, Farmleigh Woods, Castleknock, Dublin 15"," €4,000 / month ", 5 beds 
" 119 Cuirt Seoige, Bohermore, Galway"," €2,215 / month ", 2 beds 
" 6 Maryville Gardens, Courtown, Wexford"," €1,500 / month ",Apartment 
" Knockieran Lower, Blessington, Wicklow"," €3,000 / month ", 5 beds 
" McGoverns Corner, Cork Street, Dublin 8, Dublin"," €1,900 / month ", 1 bed 
" Maghernakill, Castleblayney, Monaghan"," €1,200 / month ", 2 beds 
" Stillorgan Gate, Kilmacud Road, Kilmacud, Dublin 14"," €2,800 / month ", 2 beds 
" 37 The Barrington, Lansdowne Place, Ballsbridge, Dublin 4"," €3,918 / month ", 2 beds 
" Saint John's Road, Sandymount, Dublin 4"," €9,000 / month ", 4 beds 
" Dalkey Grove, Dalkey, Dublin"," €3,100 / month ", 3 beds 
" 61 Bath Avenue, Sandymount, Dublin 4"," €6,500 / month ", 4 beds 
" Mount Pleasant Terrace, Ranelagh, Dublin 6"," €3,000 / month ", 2 beds 
" 11 The Barrington, Lansdowne Place, Ballsbridge, Dublin 4"," €6,000 / month ",Apartment 
" New Cornelscourt, Cabinteely, Dublin 18"," €2,950 / month ", 4 beds 
" The Loft House, Jameson's Courtyard, Kilmacanogue, Wicklow"," €5,500 / month ", 3 beds 
" The Coach House, Jameson's Courtyard, Kilmacanogue, Wicklow"," €4,000 / month ", 3 beds 
" Burlington Road, Ballsbridge, Dublin 4"," €6,500 / month ", 3 beds 
" Eglington, Donnybrook Castle, Stillorgan Road, Dublin 4"," €3,000 / month ", 2 beds 
" Coppins, Kilmore Avenue, Killiney, Dublin"," €9,950 / month ", 4 beds 
" Park Drive, Ranelagh, Dublin 6"," €3,950 / month ", 4 beds 
" Highfield Road, Rathgar, Dublin 6"," €12,300 / month ", 6 beds 
" Palmerston Road, Dublin 6, "," €9,572 / month ", 4 beds 
" Amberley, Glencullen, Dublin 18"," €5,500 / month ", 5 beds 
" Orpen Close, Blackrock, Dublin"," €2,700 / month ", 2 beds 
" Dalkey Sandycove Residence , Dalkey, Dublin"," €14,950 / month ", 5 beds 
" Elegant Killarney Home, Killarney, Kerry"," €2,950 / month ", 5 beds 
" Apt. 3, 191 Clonliffe Road, Drumcondra, Dublin 3"," €1,850 / month ", 1 bed 
" Castleruby, Tulsk, Co. Roscommon",POA,343983.10000000003m 2
" 18 Fairhaven Close, Castleknock, Dublin 15"," €3,250 / month ", 4 beds 
" Woodfield Scholarstown Road, Rathfarnham, Dublin 16", POA , 3 beds 
" 10 The Court, Larchill , Santry, Dublin 9"," €2,500 / month ", 2 beds 
" Balrothery Estate, Tallaght, dublin 24", €700 / month , 1 bed 
" 22 Palmerston Grove, Milltown,   Dublin 6"," €4,500 / month ",
" Elmfield Court, Clondalkin, Dublin 22"," €1,612 / month ", 3 beds 
" 2 Lansdowne Court, Shelbourne Road, Ballsbridge, Dublin 4"," €1,706 / month ", 1 bed 
" Melrose, Moneygurney, Douglas, Co. Cork"," €2,670 / month ", 4 beds 
" Bawnskeha, Thomastown, Kilkenny", POA ,none
" 312 BLOCK 17A, Marina Village, Malahide, Co. Dublin"," €2,200 / month ", 1 bed 
" 22 Morehampton Lane, Donnybrook, Dublin 4"," €4,500 / month ", 3 beds 
